---,Type,ParameterName,Level,bIsPaid,bFeatured,RewardRecipe1,RewardRecipe2,RewardRecipe3,RewardRecipe4,RewardRecipe5,RewardRecipe6,Notes
AdventurerContract_1,"Contract","AdventurerContract","1","False","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_2,"Contract","AdventurerContract","2","False","False","(RowName=""FortWardrobeUnlockItem_RM_Common_02"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_3,"Contract","AdventurerContract","3","False","False","(RowName=""Bundle_Gear_MagicMin_3"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_4,"Contract","AdventurerContract","4","False","False","(RowName=""EnchantingUnlock_FlameorFreeze1H"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_5,"Contract","AdventurerContract","5","False","False","(RowName=""EnchantingBundle_Essence_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_6,"Contract","AdventurerContract","6","False","False","(RowName=""FortDecoUnlockItem_Rare_Gate_Cemetery_01"")","(RowName=""FortDecoUnlockItem_Rare_Mausoleum_Tall_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_7,"Contract","AdventurerContract","7","False","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_8,"Contract","AdventurerContract","8","False","False","(RowName=""FortWardrobeUnlockItem_DM_Wooden_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_9,"Contract","AdventurerContract","9","False","False","(RowName=""SkillRegretScroll"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_10,"Contract","AdventurerContract","10","False","False","(RowName=""EnchantingUnlock_Enhanced2H"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_11,"Contract","AdventurerContract","11","False","False","(RowName=""FortDecoUnlockItem_Magic_Tree_IO_Oaktree_01"")","(RowName=""FortDecoUnlockItem_Magic_YardOrnament_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_12,"Contract","AdventurerContract","12","False","False","(RowName=""FortDecoUnlockItem_Rare_ITU_Tent_01"")","(RowName=""FortDecoUnlockItem_Legendary_ITU_PlanningTable_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_13,"Contract","AdventurerContract","13","False","False","(RowName=""Bundle_Gear_RareMin"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_14,"Contract","AdventurerContract","14","False","False","(RowName=""Pet_Eagle_Crested"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_15,"Contract","AdventurerContract","15","False","False","(RowName=""EnchantingBundle_Essence_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_16,"Contract","AdventurerContract","16","False","False","(RowName=""FortDecoUnlockItem_Legendary_Gcave_hut_01"")","(RowName=""FortDecoUnlockItem_Magic_Gcave_banner_01"")","(RowName=""FortDecoUnlockItem_Magic_Gcave_gourd_02"")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_17,"Contract","AdventurerContract","17","False","False","(RowName=""Bundle_Gear_MagicMin_3"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_18,"Contract","AdventurerContract","18","False","False","(RowName=""FortWardrobeUnlockItem_FG_Plant_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_19,"Contract","AdventurerContract","19","False","False","(RowName=""SkillRegretScroll"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_20,"Contract","AdventurerContract","20","False","False","(RowName=""FortDecoUnlockItem_Magic_Arch_WoodMoss_01"")","(RowName=""FortDecoUnlockItem_Magic_WeaponRack_Imperial_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_21,"Contract","AdventurerContract","21","False","False","(RowName=""MapScroll_Rare_Lifebound"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_22,"Contract","AdventurerContract","22","False","False","(RowName=""EnchantingUnlock_BloodyCarnagePet"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_23,"Contract","AdventurerContract","23","False","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_24,"Contract","AdventurerContract","24","False","False","(RowName=""Pet_Cat_Black"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_25,"Contract","AdventurerContract","25","False","False","(RowName=""Bundle_Gear_MagicMin_3"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_26,"Contract","AdventurerContract","26","False","False","(RowName=""FortWardrobeUnlockItem_DM_Plant_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_27,"Contract","AdventurerContract","27","False","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_28,"Contract","AdventurerContract","28","False","False","(RowName=""EnchantingUnlock_EnhancedRanged"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
AdventurerContract_29,"Contract","AdventurerContract","29","False","False","(RowName=""MapScroll_Legendary_Gear"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
